1001,1001,prepare
1002,1001,rollback
1003,1002,rollback
1001,1001,prepare
1001,1001,prepare
1002,1001,prepared
1003,1001,commited
1004,1003,prepare
1001,1001,prepare
1002,1001,prepared
1003,1001,commited
1004,1002,prepare
1005,1002,prepared
1006,1002,commited
1001,1001,prepare
1001,1001,prepare
1002,1001,prepared
1003,1001,commited
1004,1002,prepare
1001,1001,prepare
1002,1001,prepared
1003,1001,commited
1004,1002,prepare
1001,1001,prepare
1002,1001,prepared
1003,1001,commited
1004,1002,prepare
1005,1002,aborted
1006,1002,aborted
1001,1001,prepare
1002,1001,prepared
1003,1001,commited
1004,1002,prepare
1005,1002,prepared
1006,1002,commited
1001,1001,prepare
1002,1001,prepared
1003,1001,commited
1004,1002,prepare
1005,1002,aborted
1001,1001,prepare
1002,1001,prepared
1003,1001,commited
1004,1002,prepare
1005,1002,prepared
1006,1002,commited
1001,1001,prepare
1002,1001,prepared
1003,1001,commited
1004,1002,prepare
1005,1002,prepared
1006,1002,commited
